name,floor,shop_number,category,raw_floor,source_url,source_section,extraction_method
Levi's Store,L5,530,Shopping,"Levi's Store一期, L5, 530舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
LOG-ON,L2,A202,Shopping,"LOG-ON三期, L2, A202舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Logitech,L6,620,Shopping,"Logitech一期, L6, 620舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Lollipop Garden,L2,L2,Shopping,"Lollipop Garden三期, L2, KIOSK A221A",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Longchamp,L3,381,Shopping,"Longchamp一期, L3, 381舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
LONGINES,L3,305,Shopping,"LONGINES一期, L3, 305舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Lululemon,L4,469,Shopping,"Lululemon一期, L4, 469舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
LUSH,L3,A351B,Shopping,"LUSH三期, L3, A351B舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
M.A.C.,M,A348,Shopping,"M.A.C.三期, L3, A348舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Ma Belle,L3,309,Shopping,"Ma Belle一期, L3, 309舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MAKE UP FOR EVER,L3,A347,Shopping,"MAKE UP FOR EVER三期, L3, A347舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MARC JACOBS,L3,328,Shopping,"MARC JACOBS一期, L3,328舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Masterpiece by King Fook,L3,321,Shopping,"Masterpiece by King Fook一期, L3, 321舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Matsumoto Kiyoshi,L2,359,Shopping,"Matsumoto Kiyoshi一期, L2, 250 & 359舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MAX&Co.,L3,302A,Shopping,"MAX&Co.一期, L3, 302A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
mb by MIRABELL,L3,A369,Shopping,"mb by MIRABELL三期, L3, A369舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
McHugs,L4,414A,Shopping,"McHugs一期, L4, 414A舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MICHAEL KORS,L3,397,Shopping,"MICHAEL KORS一期, L3, 397舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MIKI HOUSE,L2,A211,Shopping,"MIKI HOUSE三期, L2 , A211舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Mirabell,L5,534,Shopping,"Mirabell一期, L5, 534舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MIRO ライフ,L3,A337,Shopping,"MIRO ライフ三期, L3, A337舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
Mizuno,L1,A118,Shopping,"Mizuno三期, L1, A118舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
MLB,L4,420,Shopping,"MLB一期, L4, 420舖",https://www.newtownplaza.com.hk/zh-hant/時尚購物/,playwright_auto,playwright
