name,floor,shop_number,category,name_en,name_tc,name_sc,raw_floor,source_url,source_section,extraction_method
Clear Hair Salon,G,113B3,"Services, Education & Beauty",Clear Hair Salon,Clear Hair Salon,Clear Hair Salon,"Shop 113B3, 1/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Color,G,119A2,Fashion & Shoes,Color,Color,Color,"Shop 119A2, 1/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Embry Form,G,119A1,Fashion & Shoes,Embry Form,安莉芳,安莉芳,"Shop 119A1, 1/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Glory Electrical Appliances and Sanitation Centre,G,G96-G98,Homeware,Glory Electrical Appliances and Sanitation Centre,金怡電業潔具中心,金怡电业洁具中心,"Shop G96-G98, G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Vee Dental,G,113B2,"Services, Education & Beauty",Vee Dental,護齒牙科,护齿牙科,"Shop 113B2, 1/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Meka,G,G24A2,"Services, Education & Beauty",Meka,美康,美康,"Shop G24A2, G/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Midland Realty,G,G85-G86,Banking & Real Estate Services,Midland Realty,美聯物業,美联物业,"Shop G85-G86, G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Ying Beauty,G,113B1,"Services, Education & Beauty",Ying Beauty,溋美纖體美容,溋美纤体美容,"Shop113B1, 1/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Premier Food Limited,G,G13-G14,Supermarket,Premier Food Limited,尚品花膠專門店,尚品花胶专门店,"Shop G13-G14, G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Da Vinci Creative Art,G,137B2,"Services, Education & Beauty",Da Vinci Creative Art,達．芬奇創意藝術室,达．芬奇创意艺术室,"Shop 137B2, 1/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
ecHome,G,G99-G100,Homeware,ecHome,億世家,亿世家,"Shops G99-G100 , G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
D-Cool,G,M23-M24,Wet Market,D-Cool,抵記,抵记,"Shop M23-M24 ,Fortune City One Market, 1-2 Ngan Shing Street, Shatin",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Design No. One Centre,G,G101-G104,Homeware,Design No. One Centre,第一設計中心,第一设计中心,"Shop G101-G104, G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Family House,G,G119-G120,Homeware,Family House,家品屋,家品屋,"Shop G119-G120, G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Hang Seng Bank,G,141-143,Banking & Real Estate Services,Hang Seng Bank,恒生銀行,恒生银行,"Shop 141-143, 1/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
DAISO JAPAN,G,G112-G118,Homeware,DAISO JAPAN,DAISO JAPAN,DAISO JAPAN,"Shop G112-G118, G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Viva Hair Salon,G,G110-G111,"Services, Education & Beauty",Viva Hair Salon,Viva Hair Salon,Viva Hair Salon,"Shop G110-G111, G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
天天鮮菓,G,M41-M42,Wet Market,天天鮮菓,天天鮮菓,天天鲜果,"Shop M41-M42 ,Fortune City One Market, 1-2 Ngan Shing Street, Shatin",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
平安参茸中西藥行,G,M43-M44,Wet Market,平安参茸中西藥行,平安参茸中西藥行,平安参茸中西药行,"Shop M43-M44 ,Fortune City One Market, 1-2 Ngan Shing Street, Shatin",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
生活城,G,M64-M67,Wet Market,生活城,生活城,生活城,"Shop M64-M67 ,Fortune City One Market, 1-2 Ngan Shing Street, Shatin",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
東誠裝修設計工程公司,G,M60-M61,Wet Market,東誠裝修設計工程公司,東誠裝修設計工程公司,东诚装修设计工程公司,"Shop M60-M61 ,Fortune City One Market, 1-2 Ngan Shing Street, Shatin",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
華昌行,G,M13-M14,Wet Market,華昌行,華昌行,华昌行,"Shop M13-M14 ,Fortune City One Market, 1-2 Ngan Shing Street, Shatin",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
新豐凍肉食品市場,G,M05-M09,Wet Market,新豐凍肉食品市場,新豐凍肉食品市場,新丰冻肉食品市场,"Shop M05-M09 ,Fortune City One Market, 1-2 Ngan Shing Street, Shatin",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
靚菜蔬菜,G,M48-M49,Wet Market,靚菜蔬菜,靚菜蔬菜,靚菜蔬菜,"Shop M48-M49 ,Fortune City One Market, 1-2 Ngan Shing Street, Shatin",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
spins,G,266-267A-B & 268,Fashion & Shoes,spins,spins,spins,"Shop 154-155, 1/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Chronicle,G,G101-G103,"Gift, Toys & Jewelry",Chronicle,千年史,千年史,"Shop G101-G103, G/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
PARKnSHOP Superstore,G,"G7B, G46-G80",Supermarket,PARKnSHOP Superstore,百佳超級廣場,百佳超级广场,"Shop G7B, G46-G80, G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
City One Shatin Post Office,G,G/F,Community Services,City One Shatin Post Office,沙田第一城郵政局,沙田第一城邮政局,"G/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Day Day Store,G,"101A, 101B",Supermarket,Day Day Store,Day Day Store,Day Day Store,"Shop 101A, 101B, 1/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
JHC,G,"G21, G105, G107",Homeware,JHC,日本城,日本城,"Shop G21, G105, G107, G/F, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Oi Tak (Shatin) Old People’s Home Limited,L4,"404, 408A, 408B","Services, Education & Beauty",Oi Tak (Shatin) Old People’s Home Limited,愛德(沙田)安老院,爱德(沙田)安老院,"Shop 404, 408A, 408B, Fortune City One . Plus",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Adidas Outlet,G,"G21-G23, G24A3","Leisure, Entertainment & Sports",Adidas Outlet,Adidas Outlet,Adidas Outlet,"Shop G21-G23, G24A3, G/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
Sa Sa,G,"G18B-G20, G24A4","Services, Education & Beauty",Sa Sa,莎莎,莎莎,"Shop G18B-G20, G24A4, G/F, Fortune City One",https://www.fortunemalls.com.hk/get/shopping?mall_id=4,api,ai_config_api_variation
FNW(全港)一站式装修,L7,"701-703, 786",Others,FNW(全港)一站式装修,FNW(全港)一站式裝修,FNW(全港)一站式装修,"Shop 701-703, 786, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Free Running,L7,707-709,"Leisure, Entertainment & Sports",Free Running,Free Running,Free Running,"Shop 707-709, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Thermos,L7,710,Homeware,Thermos,膳魔師,膳魔师,"Shop 710, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Hong Kong Wine Limited,L7,701-702 & 711,Others,Hong Kong Wine Limited,香港美酒薈有限公司,香港美酒荟有限公司,"Shop 711, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Rastar,L7,712,"Gift, Toys & Jewelry",Rastar,星輝車模,星辉车模,"Shop 712, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
UNA Pop Market,L7,714,Fashion & Shoes,UNA Pop Market,UNA Pop Market,UNA Pop Market,"Shop 714, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
FNW(全港)一站式装修,L7,715,Others,FNW(全港)一站式装修,FNW(全港)一站式裝修,FNW(全港)一站式装修,"Shop 715, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Xijiu Flagship Store,L7,716,Chinese Cuisine,Xijiu Flagship Store,習酒旗艦店,习酒旗舰店,"Shop 716, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Far East Jewellery,L7,717-718,"Gift, Toys & Jewelry",Far East Jewellery,遠東珠寶,远东珠宝,"Shop 717-718, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Watsons,L7,"719-720A, 720B","Services, Education & Beauty",Watsons,屈臣氏,屈臣氏,"Shop 719, 720A, 720B, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Kawa Shoes Company,L7,721,Fashion & Shoes,Kawa Shoes Company,高華皮鞋公司,高华皮鞋公司,"Shop 721, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Wellbeing360,L7,722,"Services, Education & Beauty",Wellbeing360,金燕坊,金燕坊,"Shop 722, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
EE,L7,726,"Services, Education & Beauty",EE,EE,EE,"Shop 726, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Hairoom,L7,727B,"Services, Education & Beauty",Hairoom,Hairoom,Hairoom,"Shop 727B, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Health Aims,L7,728,"Services, Education & Beauty",Health Aims,源生坊,源生坊,"Shop 728, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
International,L7,729-735,Supermarket,International,International,International,"Shop 729-735, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
五糧液,L7,736,Others,五糧液,五糧液,五粮液,"Shop 736, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
瀘州老窖·國窖1573,L7,737,Chinese Cuisine,瀘州老窖·國窖1573,瀘州老窖·國窖1573,泸州老窖·国窖1573,"Shop 737, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Catalo Natural Health Foods,L7,738,"Services, Education & Beauty",Catalo Natural Health Foods,家得路天然健康食品,家得路天然健康食品,"Shop 738, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Kweichow Moutai Specialty Store,L7,740,Chinese Cuisine,Kweichow Moutai Specialty Store,貴州茅台酒專賣店,贵州茅台酒专卖店,"Shop 740, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
7-Eleven,L7,745,Tasty Snacks,7-Eleven,7-11便利店,7-11便利店,"Shop 745, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
景品捕屋,L7,746,"Gift, Toys & Jewelry",景品捕屋,景品捕屋,景品捕屋,"Shop 746, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Crystal de beaute,L7,755,"Services, Education & Beauty",Crystal de beaute,活水抗衰老中心,活水抗衰老中心,"Shop 755, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Japan House Centre / JHC,L7,"760, 761, 762A",Homeware,Japan House Centre / JHC,日本城,日本城,"Shop 760, 761, 762A, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
F+ (Footspot Plus Travel & Lifewear),L7,763-765,Fashion & Shoes,F+ (Footspot Plus Travel & Lifewear),F+ (Footspot Plus Travel & Lifewear),F+ (Footspot Plus Travel & Lifewear),"Shop 763-765, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
J-tex,L7,"766, 767A, 768A",Homeware,J-tex,J-Tex,J-Tex,"Shop 766, 767A, 768A, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Bula Bula,L7,"767B, 768B, 769-771","Leisure, Entertainment & Sports",Bula Bula,Bula Bula,Bula Bula,"Shop 767B, 768B, 769-771, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
GAC Motor & AION,L7,774-776,Others,GAC Motor & AION,廣汽埃安,广汽埃安,"Shop 774-776, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
GREATWALL LIFE,L7,783-784,"Services, Education & Beauty",GREATWALL LIFE,長城優品生活館,长城优品生活馆,"Shop 783-784, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Famous Beauty & Slim,L7,785,"Services, Education & Beauty",Famous Beauty & Slim,Famous Beauty & Slim,Famous Beauty & Slim,"Shop 785, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Demeanor Interior Design House,L7,787,Others,Demeanor Interior Design House,Demeanor Interior Design House,Demeanor Interior Design House,"Shop 787, Level 7, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Life-wide Fencing Studio,L8,802-803AB,"Services, Education & Beauty",Life-wide Fencing Studio,劍擊全方位,剑击全方位,"Shop 802, 803A&803B, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Sunrise Kids,L8,805,"Services, Education & Beauty",Sunrise Kids,Sunrise Kids,Sunrise Kids,"Shop 805, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Chinese Herb Soap,L8,814,"Services, Education & Beauty",Chinese Herb Soap,處方藥皂,处方药皂,"Shop 814, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Tsing Mui Piano Company,L8,815-816,"Services, Education & Beauty",Tsing Mui Piano Company,青苗琴行,青苗琴行,"Shop 815-816, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Eye Level Aptitude Education Center,L8,818,"Services, Education & Beauty",Eye Level Aptitude Education Center,Eye Level Aptitude Education Center,Eye Level Aptitude Education Center,"Shop 818, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Smart Creative Art Centre,L8,819,"Services, Education & Beauty",Smart Creative Art Centre,博文創藝中心,博文创艺中心,"Shop 819, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Phoenix Jewellery,L8,820,"Gift, Toys & Jewelry",Phoenix Jewellery,鴻福珠寶玉器,鸿福珠宝玉器,"Shop 820, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Hong Kong Education Consultancy Centre,L8,823-824,"Services, Education & Beauty",Hong Kong Education Consultancy Centre,香港升學中心,香港升学中心,"Shop 823-824, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Exceed Shingakukai (Japanese Educational Centre),L8,825,"Services, Education & Beauty",Exceed Shingakukai (Japanese Educational Centre),Exceed Shingakukai (Japanese Educational Centre),Exceed Shingakukai (Japanese Educational Centre),"Shop 825, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Babington Education Center,L8,849A,"Services, Education & Beauty",Babington Education Center,Babington Education Center,Babington Education Center,"Shop 849A, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Art Palace,L8,842,"Services, Education & Beauty",Art Palace,兒童藝術創作坊,儿童艺术创作坊,"Shop 842, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
WiseQ Learning,L8,843,"Services, Education & Beauty",WiseQ Learning,WiseQ Learning,WiseQ Learning,"Shop 843, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Crossover STEM Excellence Centre,L8,844,"Services, Education & Beauty",Crossover STEM Excellence Centre,Crossover STEM Excellence Centre,Crossover STEM Excellence Centre,"Shop844 , Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Parkland Music Institute,L8,845,"Services, Education & Beauty",Parkland Music Institute,柏茵音樂院,柏茵音乐院,"Shop 845, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Kumon HungHom Education Centre (Hong Kong),L8,848A,"Services, Education & Beauty",Kumon HungHom Education Centre (Hong Kong),公文式紅磡教育中心（香港）,公文式红磡教育中心（香港）,"Shop 848A, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Debaters Association,L8,"848B, 849B, 850","Services, Education & Beauty",Debaters Association,辯論協會,辩论协会,"Shop ,848B, 849B, 850 Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
epis Education Centre,L8,852,"Services, Education & Beauty",epis Education Centre,epis Education Centre,epis Education Centre,"Shop 852, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Cartoonland Creative Studio(HK) Limited,L8,854,"Services, Education & Beauty",Cartoonland Creative Studio(HK) Limited,香港卡通樂樂園創意童話攝影有限公司,香港卡通乐乐园创意童话摄影有限公司,"Shop 854, Level 8, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
NRG Taekwondo Korea Limited,L9,907-910,"Services, Education & Beauty",NRG Taekwondo Korea Limited,NRG Taekwondo Korea Limited,NRG Taekwondo Korea Limited,"Shop 907-910, Level 9, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Wonderful 611 Bread of Life Christian Church,L9,"930B2, 931B, 934B & 935-936",Community Services,Wonderful 611 Bread of Life Christian Church,奇妙 611 靈糧堂,奇妙611灵粮堂,"Shop 930B2, 931B, 934B & 935-936, Level 9, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Callisto Production,L9,937,"Services, Education & Beauty",Callisto Production,Callisto Production,Callisto Production,"Shop 937, Level 9, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Bloomkids,L9,938-939,"Services, Education & Beauty",Bloomkids,盛放兒童創作室,盛放儿童创作室,"Shop 938-939, Level 9, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
KING'S Rhythmic Gymnastics Ballet Academy (HK),L9,940-941,"Services, Education & Beauty",KING'S Rhythmic Gymnastics Ballet Academy (HK),KING'S 香港藝術體操芭蕾舞學院,KING'S 香港艺术体操芭蕾舞学院,"Shop 940-941, Level 9, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Hong Kong Developmental Paediatrics Centre,L9,942-943,"Services, Education & Beauty",Hong Kong Developmental Paediatrics Centre,香港兒童發展專科中心,香港儿童发展专科中心,"Shop 942-943, Level 9, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
Wonderful 611 Bread of Life Christian Church,L9,944-945,Community Services,Wonderful 611 Bread of Life Christian Church,奇妙 611 靈糧堂,奇妙 611 灵粮堂,"Shop 944-945, Level 9, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
The 440 Studio,L9,946,"Services, Education & Beauty",The 440 Studio,肆肆零音樂中心,肆肆零音乐中心,"Shop 946, Level 9, Fortune Metropolis",https://www.fortunemalls.com.hk/get/shopping?mall_id=5,api,ai_config_api_variation
7-Eleven,G,2,Tasty Snacks,7-Eleven,7-11便利店,7-11便利店,"Shop 2, Lido Avenue",https://www.fortunemalls.com.hk/get/shopping?mall_id=6,api,ai_config_api_variation
759 Store,G,3,Tasty Snacks,759 Store,759 阿信屋,759 阿信屋,"Shop 3, Lido Avenue",https://www.fortunemalls.com.hk/get/shopping?mall_id=6,api,ai_config_api_variation
Circle K Store,G,4A,Others,Circle K Store,OK 便利店,OK 便利店,Shop 4A Lido Avenue,https://www.fortunemalls.com.hk/get/shopping?mall_id=6,api,ai_config_api_variation
Earnest Property Agency,G,5A,Banking & Real Estate Services,Earnest Property Agency,晉誠地產,晋诚地产,"Shop 5A, Lido Avenue",https://www.fortunemalls.com.hk/get/shopping?mall_id=6,api,ai_config_api_variation
JHC,G,6A & 6B,Homeware,JHC,日本城,日本城,"Shop 6A & 6B, Lido Avenue",https://www.fortunemalls.com.hk/get/shopping?mall_id=6,api,ai_config_api_variation
Watsons,G,7 & 8,"Services, Education & Beauty",Watsons,屈臣氏,屈臣氏,"Shop 7 & 8, Lido Avenue",https://www.fortunemalls.com.hk/get/shopping?mall_id=6,api,ai_config_api_variation
G C Shop,G,9,"Services, Education & Beauty",G C Shop,G C Shop,G C Shop,"Shop 9, Lido Avenue",https://www.fortunemalls.com.hk/get/shopping?mall_id=6,api,ai_config_api_variation
Pop Market,G,Shop G38A,Fashion & Shoes,Pop Market,Pop Market,Pop Market,"Shop G38A, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Hong Kong Jockey Club,L1,101,Others,Hong Kong Jockey Club,香港賽馬會,香港赛马会,"Shop 101, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Bank of East Asia,L1,"103, 103A",Banking & Real Estate Services,Bank of East Asia,東亞銀行,东亚银行,"Shop 103, 103A, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
EcLiving,L1,104,Homeware,EcLiving,簡簡單單,简简单单,"Shop ,104 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
VIP Professional Optical,L1,107,Fashion & Shoes,VIP Professional Optical,恒鋒專業眼鏡,恒锋专业眼镜,"Shop 107, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
SPEEDY JUST CUT,L1,109C,"Services, Education & Beauty",SPEEDY JUST CUT,速.速剪速剪專門店,速.速剪速剪专门店,"Shop 109C, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Home Design,L1,110A,"Services, Education & Beauty",Home Design,設計工房,设计工房,"Shop 110A, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
WE LOVE WAWA,L1,109B,"Services, Education & Beauty",WE LOVE WAWA,WE LOVE WAWA,WE LOVE WAWA,"Shop109A & 109B, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
JHC,L1,"110A , 110B",Homeware,JHC,日本城,日本城,"Shop 110B & 111, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
C+C Station,L1,112C,"Services, Education & Beauty",C+C Station,C+C Station,C+C Station,"Shop 112C, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Hui Yi Money Exchange,L1,112D,"Services, Education & Beauty",Hui Yi Money Exchange,匯溢人民幣找換店,汇溢人民币找换店,"Shop112D , 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Cottex,L1,112B,Homeware,Cottex,Cottex,Cottex,"Shop 112B, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Citystory,L1,112A,"Gift, Toys & Jewelry",Citystory,小城故事,小城故事,"Shop 112A, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Chronicle,L1,113B,"Gift, Toys & Jewelry",Chronicle,千年史,千年史,"Shop 113DB 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
123 by ELLA,L1,113A-113C,Homeware,123 by ELLA,123 by ELLA,123 by ELLA,"Shop 113A-113C, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
China Life (Overseas) Wealth Management Centre,L1,115,"Services, Education & Beauty",China Life (Overseas) Wealth Management Centre,中國人壽(海外)財富管理中心,中国人寿(海外)财富管理中心,"Shop 115, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Home Mart Lighting,L1,116,Homeware,Home Mart Lighting,家居燈飾,家居灯饰,"Shop 116, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Hang Seng Bank,L1,120-122,Banking & Real Estate Services,Hang Seng Bank,恒生銀行,恒生银行,"Shop120-122, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Living Plaza by AEON,L1,129-130,Homeware,Living Plaza by AEON,Living Plaza by AEON,Living Plaza by AEON,"Shop 129-130, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
Boomibang,L1,131,"Leisure, Entertainment & Sports",Boomibang,Boomibang,Boomibang,"Shop 131, 1/F, +WOO Phase 2",https://www.fortunemalls.com.hk/get/shopping?mall_id=7,api,ai_config_api_variation
